Symptoms,Disease
ache all over,abdominal hernia
groin mass,abdominal hernia
irregular belly button,abdominal hernia
lower abdominal pain,abdominal hernia
regurgitation,abdominal hernia
regurgitation.1,abdominal hernia
sharp abdominal pain,abdominal hernia
swollen abdomen,abdominal hernia
symptoms of the scrotum and testes,abdominal hernia
upper abdominal pain,abdominal hernia
coryza,abscess of nose
cough,abscess of nose
fever,abscess of nose
irritable infant,abscess of nose
nasal congestion,abscess of nose
sinus congestion,abscess of nose
sore throat,abscess of nose
vomiting,abscess of nose
cough,abscess of the lung
depressive or psychotic symptoms,abscess of the lung
itchy eyelid,abscess of the lung
shortness of breath,abscess of the lung
cough,abscess of the pharynx
difficulty in swallowing,abscess of the pharynx
fever,abscess of the pharynx
headache,abscess of the pharynx
nasal congestion,abscess of the pharynx
sharp chest pain,abscess of the pharynx
sore throat,abscess of the pharynx
throat swelling,abscess of the pharynx
acne or pimples,acanthosis nigricans
skin growth,acanthosis nigricans
skin lesion,acanthosis nigricans
weight gain,acanthosis nigricans
chest tightness,achalasia
cough,achalasia
difficulty in swallowing,achalasia
sharp chest pain,achalasia
throat feels tight,achalasia
abnormal appearing skin,acne
acne or pimples,acne
irregular appearing scalp,acne
long menstrual periods,acne
"skin dryness, peeling, scaliness, or roughness",acne
skin growth,acne
skin moles,acne
skin rash,acne
skin swelling,acne
abnormal appearing skin,actinic keratosis
irregular appearing scalp,actinic keratosis
itching of skin,actinic keratosis
"skin dryness, peeling, scaliness, or roughness",actinic keratosis
skin growth,actinic keratosis
skin irritation,actinic keratosis
skin lesion,actinic keratosis
skin moles,actinic keratosis
skin rash,actinic keratosis
skin swelling,actinic keratosis
symptoms of the face,actinic keratosis
coryza,acute bronchiolitis
cough,acute bronchiolitis
decreased appetite,acute bronchiolitis
difficulty breathing,acute bronchiolitis
fever,acute bronchiolitis
hurts to breath,acute bronchiolitis
irritable infant,acute bronchiolitis
nasal congestion,acute bronchiolitis
pulling at ears,acute bronchiolitis
shortness of breath,acute bronchiolitis
vomiting,acute bronchiolitis
wheezing,acute bronchiolitis
congestion in chest,acute bronchitis
coryza,acute bronchitis
cough,acute bronchitis
coughing up sputum,acute bronchitis
difficulty breathing,acute bronchitis
fever,acute bronchitis
headache,acute bronchitis
nasal congestion,acute bronchitis
sharp chest pain,acute bronchitis
shortness of breath,acute bronchitis
sore throat,acute bronchitis
wheezing,acute bronchitis
chest tightness,acute bronchospasm
coryza,acute bronchospasm
cough,acute bronchospasm
difficulty breathing,acute bronchospasm
fever,acute bronchospasm
nasal congestion,acute bronchospasm
sharp chest pain,acute bronchospasm
shortness of breath,acute bronchospasm
sore throat,acute bronchospasm
vomiting,acute bronchospasm
wheezing,acute bronchospasm
blindness,acute glaucoma
diminished vision,acute glaucoma
double vision,acute glaucoma
eye redness,acute glaucoma
foreign body sensation in eye,acute glaucoma
pain in eye,acute glaucoma
spots or clouds in vision,acute glaucoma
symptoms of eye,acute glaucoma
dizziness,acute kidney injury
kidney mass,acute kidney injury
nausea,acute kidney injury
peripheral edema,acute kidney injury
retention of urine,acute kidney injury
sharp abdominal pain,acute kidney injury
sharp chest pain,acute kidney injury
shortness of breath,acute kidney injury
symptoms of the kidneys,acute kidney injury
vomiting,acute kidney injury
weakness,acute kidney injury
coryza,acute otitis media
cough,acute otitis media
diminished hearing,acute otitis media
ear pain,acute otitis media
fever,acute otitis media
fluid in ear,acute otitis media
nasal congestion,acute otitis media
plugged feeling in ear,acute otitis media
redness in ear,acute otitis media
sore throat,acute otitis media
abusing alcohol,acute pancreatitis
back pain,acute pancreatitis
burning abdominal pain,acute pancreatitis
diarrhea,acute pancreatitis
hemoptysis,acute pancreatitis
lower body pain,acute pancreatitis
nausea,acute pancreatitis
sharp abdominal pain,acute pancreatitis
sharp chest pain,acute pancreatitis
side pain,acute pancreatitis
upper abdominal pain,acute pancreatitis
vomiting,acute pancreatitis
chest tightness,acute respiratory distress syndrome (ards)
chills,acute respiratory distress syndrome (ards)
cough,acute respiratory distress syndrome (ards)
depressive or psychotic symptoms,acute respiratory distress syndrome (ards)
difficulty breathing,acute respiratory distress syndrome (ards)
fever,acute respiratory distress syndrome (ards)
sharp chest pain,acute respiratory distress syndrome (ards)
shortness of breath,acute respiratory distress syndrome (ards)
wheezing,acute respiratory distress syndrome (ards)
coryza,acute sinusitis
cough,acute sinusitis
coughing up sputum,acute sinusitis
ear pain,acute sinusitis
facial pain,acute sinusitis
fever,acute sinusitis
frontal headache,acute sinusitis
